tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
200000,2026-01-16T15:26:14.115292,14332,2421,10844,3487,5542,0.38080948352210414,0.00188163,0.2662246510220158,24.21,84.23,108.44,32.16,111.16,143.32,7.94,26.93,34.87,0.38080948352210414,1881.63,1.88163e-05,55.42,0.0,0.0,0.2662246510220158,2421,8423,10844,3487,188163,1.79,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9836,0.9323218390804598,2,4,85,0,1,0,4,0,4,0,0,81.58,172,74
210000,2026-01-16T15:26:16.368095,15026,2539,11365,3661,5820,0.38073222929253164,0.00197542,0.26628134758701594,25.39,88.26,113.65,33.72,116.54,150.26,8.33,28.28,36.61,0.38073222929253164,1975.42,1.9754199999999998e-05,58.2,0.0,0.0,0.26628134758701594,2539,8826,11365,3661,197542,1.84,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9806,0.9315666666666667,0,5,88,0,0,0,2,1,4,0,0,35.79,124,58
220000,2026-01-16T15:26:18.636642,15770,2656,11931,3838,6121,0.37931619830486146,0.00206926,0.26584367609485243,26.56,92.75,119.31,35.39,122.31,157.7,8.82,29.56,38.38,0.37931619830486146,2069.26,2.06926e-05,61.21,0.0,0.0,0.26584367609485243,2656,9275,11931,3838,206926,1.83,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9862000000000001,0.9328728395061728,0,5,90,0,0,0,2,0,3,0,0,50.98,164,51
230000,2026-01-16T15:26:20.958730,16511,2781,12487,4023,6418,0.37780578763814193,0.00216309,0.2652823281945387,27.81,97.06,124.87,36.99,128.12,165.11,9.17,31.06,40.23,0.37780578763814193,2163.09,2.16309e-05,64.18,0.0,0.0,0.2652823281945387,2781,9706,12487,4023,216309,1.69,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9828,0.9320873015873016,0,3,92,0,0,0,3,0,2,0,0,43.19,136,43
240000,2026-01-16T15:26:23.205156,17219,2901,13013,4206,6699,0.37821800026474817,0.00225788,0.2657067060872009,29.01,101.12,130.13,38.56,133.63,172.19,9.55,32.51,42.06,0.37821800026474817,2257.88,2.2578799999999998e-05,66.99,0.0,0.0,0.2657067060872009,2901,10112,13013,4206,225788,1.68,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.98,0.9328873015873016,1,4,86,1,2,0,2,0,4,0,0,73.2,181,76
250000,2026-01-16T15:26:25.486276,17919,3021,13536,4382,6965,0.3773385236389703,0.00235209,0.26556103930473063,30.21,105.15,135.36,40.21,138.98,179.19,9.99,33.83,43.82,0.3773385236389703,2352.09,2.3520899999999997e-05,69.65,0.0,0.0,0.26556103930473063,3021,10515,13536,4382,235209,1.59,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9812000000000001,0.9315143578643579,0,6,85,0,0,0,3,0,6,0,0,58.86,139,61
260000,2026-01-16T15:26:27.756877,18682,3146,14106,4575,7274,0.37688080715752725,0.00244625,0.2655592617301306,31.46,109.6,141.06,41.92,144.9,186.82,10.45,35.3,45.75,0.37688080715752725,2446.25,2.44625e-05,72.74,0.0,0.0,0.2655592617301306,3146,10960,14106,4575,244625,2.03,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9738,0.9309638581287113,1,3,86,0,0,0,6,0,4,0,0,72.67,159,59
270000,2026-01-16T15:26:30.019902,19489,3275,14708,4780,7605,0.37689428830165966,0.00253982,0.265662364077426,32.75,114.33,147.08,43.72,151.17,194.89,10.96,36.84,47.8,0.37689428830165966,2539.82,2.53982e-05,76.05,0.0,0.0,0.265662364077426,3275,11433,14708,4780,253982,1.71,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9822,0.9281998217468805,0,8,79,0,2,0,6,0,5,0,0,85.65,157,77
280000,2026-01-16T15:26:32.282050,20217,3394,15253,4963,7908,0.3764711048707587,0.0026341,0.2657096118495915,33.94,118.59,152.53,45.26,156.91,202.17,11.31,38.32,49.63,0.3764711048707587,2634.1,2.6340999999999997e-05,79.08,0.0,0.0,0.2657096118495915,3394,11859,15253,4963,263410,1.81,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9842,0.929918309859155,0,3,86,0,1,0,6,0,4,0,0,65.64,169,89
290000,2026-01-16T15:26:34.513458,20958,3511,15800,5157,8226,0.3763400578640646,0.00272794,0.2657492855428049,35.11,122.89,158.0,46.92,162.66,209.58,11.8,39.77,51.57,0.3763400578640646,2727.94,2.72794e-05,82.26,0.0,0.0,0.2657492855428049,3511,12289,15800,5157,272794,1.86,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9845999999999999,0.9291333333333333,0,10,82,0,1,0,3,0,4,0,0,68.59,139,74
