tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
210000,2026-01-16T11:41:12.880749,18561,2132,13180,5380,10490,0.4916123520606652,0.00190665,0.3136001495077446,21.32,110.48,131.8,31.26,154.35,185.61,9.93,43.87,53.8,0.4916123520606652,1906.65,1.90665e-05,104.9,0.0,0.0,0.3136001495077446,2132,11048,13180,5380,190665,0.03,0.03,0.03,0,14,75,0,3,0,5,0,3,0,0,70.33,133,74
220000,2026-01-16T11:41:13.485097,19418,2236,13798,5619,10943,0.48988021377000174,0.00199836,0.3131393890713763,22.36,115.62,137.98,32.88,161.3,194.18,10.51,45.68,56.19,0.48988021377000174,1998.36,1.99836e-05,109.43,0.0,0.0,0.3131393890713763,2236,11562,13798,5619,199836,0.03,0.03,0.03,0,18,71,0,0,0,6,0,5,0,0,27.16,102,39
230000,2026-01-16T11:41:14.037581,20256,2342,14409,5846,11368,0.48523130011282545,0.00209059,0.3117995421998459,23.42,120.67,144.09,34.45,168.11,202.56,11.02,47.44,58.46,0.48523130011282545,2090.59,2.09059e-05,113.68,0.0,0.0,0.3117995421998459,2342,12067,14409,5846,209059,0.03,0.03,0.03,0,10,75,0,2,0,7,0,6,0,0,104.66,153,90
240000,2026-01-16T11:41:14.589078,21037,2447,14973,6063,11768,0.48425529303439757,0.00218334,0.3116923357443536,24.47,125.26,149.73,35.93,174.44,210.37,11.45,49.18,60.63,0.48425529303439757,2183.34,2.1833400000000003e-05,117.68,0.0,0.0,0.3116923357443536,2447,12526,14973,6063,218334,0.03,0.03,0.03,0,9,82,0,2,0,4,0,3,0,0,61.18,123,77
250000,2026-01-16T11:41:15.138801,21855,2557,15557,6298,12174,0.48230494240571614,0.00227828,0.31118187520430274,25.57,130.0,155.57,37.52,181.03,218.55,11.95,51.03,62.98,0.48230494240571614,2278.28,2.27828e-05,121.74,0.0,0.0,0.31118187520430274,2557,13000,15557,6298,227828,0.03,0.03,0.03,0,13,74,0,3,1,6,0,3,0,0,98.35,174,87
260000,2026-01-16T11:41:15.678710,22668,2659,16138,6529,12593,0.4809318985637996,0.00237227,0.31099367642786563,26.59,134.79,161.38,39.13,187.55,226.68,12.53,52.76,65.29,0.4809318985637996,2372.27,2.3722700000000002e-05,125.93,0.0,0.0,0.31099367642786563,2659,13479,16138,6529,237227,0.03,0.03,0.03,0,11,76,0,3,0,6,0,4,0,0,113.0,165,89
270000,2026-01-16T11:41:16.218141,23513,2757,16745,6767,13047,0.4793230660142179,0.00246379,0.3105859954364717,27.57,139.88,167.45,40.75,194.38,235.13,13.17,54.5,67.67,0.4793230660142179,2463.79,2.46379e-05,130.47,0.0,0.0,0.3105859954364717,2757,13988,16745,6767,246379,0.03,0.03,0.03,0,15,76,0,1,0,6,0,2,0,0,54.05,139,56
280000,2026-01-16T11:41:16.768198,24370,2868,17369,7000,13480,0.4784891431307777,0.00255648,0.3101625703583141,28.68,145.01,173.69,42.43,201.27,243.7,13.74,56.26,70.0,0.4784891431307777,2556.48,2.55648e-05,134.8,0.0,0.0,0.3101625703583141,2868,14501,17369,7000,255648,0.03,0.03,0.03,0,18,77,0,0,0,3,0,2,0,0,20.86,79,44
290000,2026-01-16T11:41:17.321174,25213,2980,17982,7230,13898,0.47698134311528173,0.00265048,0.3095590656684635,29.8,150.02,179.82,44.01,208.12,252.13,14.21,58.09,72.3,0.47698134311528173,2650.48,2.65048e-05,138.98,0.0,0.0,0.3095590656684635,2980,15002,17982,7230,265048,0.03,0.03,0.03,1,8,83,0,3,0,2,0,3,0,0,59.28,121,69
300000,2026-01-16T11:41:17.867629,26069,3083,18598,7470,14353,0.4767796809182046,0.00274244,0.30942850220940366,30.83,155.15,185.98,45.54,215.15,260.69,14.7,60.0,74.7,0.4767796809182046,2742.44,2.74244e-05,143.53,0.0,0.0,0.30942850220940366,3083,15515,18598,7470,274244,0.03,0.03,0.03,0,14,74,0,1,0,7,0,4,0,0,24.61,102,40
