tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav,cluster_0_send_probability,cluster_0_n_nodes,cluster_0_avg_packet_sent,cluster_0_avg_packet_loss,cluster_0_avg_packet_loss_pct,cluster_0_total_throughput,cluster_0_avg_throughput_per_node,cluster_0_avg_timeout_retry,cluster_0_avg_cw_enters,cluster_0_avg_cw_increase,cluster_0_cw_increase_ratio,cluster_0_avg_epsilon,cluster_1_send_probability,cluster_1_n_nodes,cluster_1_avg_packet_sent,cluster_1_avg_packet_loss,cluster_1_avg_packet_loss_pct,cluster_1_total_throughput,cluster_1_avg_throughput_per_node,cluster_1_avg_timeout_retry,cluster_1_avg_cw_enters,cluster_1_avg_cw_increase,cluster_1_cw_increase_ratio,cluster_1_avg_epsilon,cluster_2_send_probability,cluster_2_n_nodes,cluster_2_avg_packet_sent,cluster_2_avg_packet_loss,cluster_2_avg_packet_loss_pct,cluster_2_total_throughput,cluster_2_avg_throughput_per_node,cluster_2_avg_timeout_retry,cluster_2_avg_cw_enters,cluster_2_avg_cw_increase,cluster_2_cw_increase_ratio,cluster_2_avg_epsilon,cluster_throughput_variance,cluster_throughput_max_min_ratio,jain_fairness_index
28470000,2026-01-19T10:31:14.799800,1460983,301666,1273320,187662,312357,0.17822060520804958,0.23200384,0.1755015678541927,3016.66,9716.54,12733.2,3275.84,11333.99,14609.83,259.17,1617.45,1876.62,0.17822060520804958,232003.84,0.0023200384,3123.57,0.0,0.0,0.1755015678541927,301666,971654,1273320,187662,23200384,0.03,0.03,0.03,0,10,85,0,0,0,3,0,2,0,0,123.36,165,96,N/A,34,14946.617647058823,1923.1764705882354,0.15845329185024362,9984359,293657.6176470588,3432.235294117647,0.0,0.0,0,0.03,N/A,33,11521.454545454546,1799.878787878788,0.17576915998924672,5893445,178589.24242424243,2663.2727272727275,0.0,0.0,0,0.03,N/A,33,11664.454545454546,1905.3939393939395,0.2010383732803495,7322580,221896.36363636365,3265.848484848485,0.0,0.0,0,0.03,2873674627606.889,1.694146462722567,0.9541533168960342
28480000,2026-01-19T10:31:15.486792,1461500,301773,1273773,187727,312467,0.1782209262945099,0.23208777,0.17552281118255006,3017.73,9720.0,12737.73,3277.0,11338.0,14615.0,259.27,1618.0,1877.27,0.1782209262945099,232087.77,0.0023208777,3124.67,0.0,0.0,0.17552281118255006,301773,972000,1273773,187727,23208777,0.03,0.03,0.03,2,8,88,0,0,0,1,0,1,0,0,11.87,118,49,N/A,34,14951.970588235294,1923.8235294117646,0.15845418751401072,9988432,293777.4117647059,3433.4117647058824,0.0,0.0,0,0.03,N/A,33,11525.666666666666,1800.3939393939395,0.1757562644773085,5895330,178646.36363636365,2664.121212121212,0.0,0.0,0,0.03,N/A,33,11668.454545454546,1906.1818181818182,0.201051318976468,7325015,221970.15151515152,3267.121212121212,0.0,0.0,0,0.03,2876808144168.6665,1.6942956543569232,0.9541372845828101
28490000,2026-01-19T10:31:16.160584,1462024,301880,1274224,187799,312585,0.1782282196440899,0.23217022,0.17555063693689735,3018.8,9723.44,12742.24,3278.15,11342.09,14620.24,259.34,1618.65,1877.99,0.1782282196440899,232170.22,0.0023217022,3125.85,0.0,0.0,0.17555063693689735,301880,972344,1274224,187799,23217022,0.03,0.03,0.03,0,9,86,0,1,0,2,0,2,0,0,135.95,162,97,N/A,34,14957.29411764706,1924.5588235294117,0.1584615941804302,9991831,293877.3823529412,3434.8529411764707,0.0,0.0,0,0.03,N/A,33,11530.0,1801.2424242424242,0.17576534089947143,5897375,178708.33333333334,2665.030303030303,0.0,0.0,0,0.03,N/A,33,11672.30303030303,1906.7575757575758,0.20105671250278206,7327816,222055.0303030303,3268.3030303030305,0.0,0.0,0,0.03,2878634145626.889,1.694284490981157,0.954140603635244
28500000,2026-01-19T10:31:16.790824,1462537,301988,1274673,187864,312689,0.17822413476762905,0.23225464,0.17557445062715055,3019.88,9726.85,12746.73,3279.31,11346.06,14625.37,259.43,1619.21,1878.64,0.17822413476762905,232254.64,0.0023225464,3126.89,0.0,0.0,0.17557445062715055,301988,972685,1274673,187864,23225464,0.03,0.03,0.03,0,16,81,0,1,0,2,0,0,0,0,37.88,118,99,N/A,34,14962.470588235294,1925.4117647058824,0.15847469656698449,9995714,293991.5882352941,3436.323529411765,0.0,0.0,0,0.03,N/A,33,11534.30303030303,1801.8181818181818,0.17575011459257808,5899361,178768.51515151514,2665.818181818182,0.0,0.0,0,0.03,N/A,33,11676.272727272728,1907.2727272727273,0.2010460609675865,7330389,222133.0,3269.151515151515,0.0,0.0,0,0.03,2881322932557.5557,1.6943723226973226,0.9541315662021657
28510000,2026-01-19T10:31:17.410643,1463064,302097,1275132,187931,312801,0.17822796798914545,0.23233648,0.17559951081882375,3020.97,9730.35,12751.32,3280.48,11350.16,14630.64,259.5,1619.81,1879.31,0.17822796798914545,232336.48,0.0023233648,3128.01,0.0,0.0,0.17559951081882375,302097,973035,1275132,187931,23233648,0.03,0.03,0.03,0,19,78,0,0,0,1,0,2,0,0,89.72,102,98,N/A,34,14968.235294117647,1925.9411764705883,0.15845466862029883,9999692,294108.5882352941,3437.3823529411766,0.0,0.0,0,0.03,N/A,33,11538.424242424242,1802.5757575757575,0.1757611310378347,5901032,178819.15151515152,2666.757575757576,0.0,0.0,0,0.03,N/A,33,11680.121212121212,1908.0,0.20106729519926783,7332924,222209.81818181818,3270.5151515151515,0.0,0.0,0,0.03,2884553340120.889,1.6945666452918744,0.9541133608075307
28520000,2026-01-19T10:31:18.036530,1463568,302203,1275568,188000,312905,0.17823178019229485,0.23242225,0.17562133627265816,3022.03,9733.65,12755.68,3281.63,11354.05,14635.68,259.6,1620.4,1880.0,0.17823178019229485,232422.25,0.0023242225,3129.05,0.0,0.0,0.17562133627265816,302203,973365,1275568,188000,23242225,0.03,0.03,0.03,0,8,87,1,2,0,2,0,0,0,0,150.46,181,94,N/A,34,14973.117647058823,1926.7941176470588,0.1584784538499216,10002994,294205.70588235295,3438.8823529411766,0.0,0.0,0,0.03,N/A,33,11541.969696969696,1803.1515151515152,0.17576399577280521,5903285,178887.42424242425,2667.3333333333335,0.0,0.0,0,0.03,N/A,33,11684.757575757576,1908.6363636363637,0.2010514766008963,7335946,222301.39393939395,3271.5454545454545,0.0,0.0,0,0.03,2885919606656.222,1.69447926027627,0.9541249461747947
28530000,2026-01-19T10:31:18.677697,1464108,302319,1276042,188065,313006,0.17822938948827968,0.23250284,0.1756456438198369,3023.19,9737.23,12760.42,3282.87,11358.21,14641.08,259.67,1620.98,1880.65,0.17822938948827968,232502.84,0.0023250284,3130.06,0.0,0.0,0.1756456438198369,302319,973723,1276042,188065,23250284,0.03,0.03,0.03,0,9,84,0,0,0,4,0,3,0,0,136.66,170,98,N/A,34,14978.558823529413,1927.5294117647059,0.1584795688957652,10006306,294303.1176470588,3440.264705882353,0.0,0.0,0,0.03,N/A,33,11546.60606060606,1803.7575757575758,0.17575224577213988,5905860,178965.45454545456,2668.121212121212,0.0,0.0,0,0.03,N/A,33,11688.878787878788,1909.2424242424242,0.2010548332088283,7338118,222367.21212121213,3272.3939393939395,0.0,0.0,0,0.03,2887138620091.5557,1.694301253331437,0.9541368086238767
28540000,2026-01-19T10:31:19.305914,1464603,302421,1276474,188129,313119,0.17823956209181485,0.23258507,0.17567072855585336,3024.21,9740.53,12764.74,3283.95,11362.08,14646.03,259.74,1621.55,1881.29,0.17823956209181485,232585.07,0.0023258507,3131.19,0.0,0.0,0.17567072855585336,302421,974053,1276474,188129,23258507,0.03,0.03,0.03,0,12,86,0,1,0,1,0,0,0,0,32.09,106,96,N/A,34,14983.941176470587,1928.264705882353,0.15847948355318353,10009799,294405.85294117645,3441.5882352941176,0.0,0.0,0,0.03,N/A,33,11551.030303030304,1804.3030303030303,0.17575802287180534,5908472,179044.60606060605,2669.121212121212,0.0,0.0,0,0.03,N/A,33,11692.0,1909.878787878788,0.2010799701092021,7340236,222431.39393939395,3273.4545454545455,0.0,0.0,0,0.03,2888599769288.222,1.6941434265915114,0.9541456149136917
28550000,2026-01-19T10:31:19.945023,1465121,302530,1276925,188195,313219,0.17823433716693915,0.23266943,0.17568929772355432,3025.3,9743.95,12769.25,3285.13,11366.08,14651.21,259.82,1622.13,1881.95,0.17823433716693915,232669.43,0.0023266943,3132.19,0.0,0.0,0.17568929772355432,302530,974395,1276925,188195,23266943,0.03,0.03,0.03,0,3,91,0,1,0,3,0,2,0,0,132.07,163,96,N/A,34,14988.970588235294,1929.0588235294117,0.15849547207567213,10013567,294516.67647058825,3442.764705882353,0.0,0.0,0,0.03,N/A,33,11555.818181818182,1804.8181818181818,0.17573270211792746,5910947,179119.60606060605,2669.878787878788,0.0,0.0,0,0.03,N/A,33,11695.69696969697,1910.5454545454545,0.201072984734226,7342429,222497.84848484848,3274.5151515151515,0.0,0.0,0,0.03,2890623310640.889,1.6940715252564438,0.9541467086513741
28560000,2026-01-19T10:31:20.583065,1465628,302634,1277364,188263,313334,0.1782368166245221,0.23275221,0.17571276903427965,3026.34,9747.3,12773.64,3286.27,11370.01,14656.28,259.92,1622.71,1882.63,0.1782368166245221,232752.21,0.0023275221,3133.34,0.0,0.0,0.17571276903427965,302634,974730,1277364,188263,23275221,0.03,0.03,0.03,0,12,85,0,0,0,1,0,2,0,0,77.76,92,96,N/A,34,14993.911764705883,1929.9117647058824,0.15850807755858606,10016614,294606.29411764705,3444.294117647059,0.0,0.0,0,0.03,N/A,33,11559.484848484848,1805.4848484848485,0.1757385657267645,5913284,179190.42424242425,2670.7272727272725,0.0,0.0,0,0.03,N/A,33,11700.242424242424,1911.060606060606,0.20106164716597136,7345323,222585.54545454544,3275.5757575757575,0.0,0.0,0,0.03,2891538710344.6665,1.693917288599702,0.9541639788849507
28570000,2026-01-19T10:31:21.213506,1466127,302740,1277799,188328,313437,0.17823954814347606,0.23283773,0.17573860049893636,3027.4,9750.59,12777.99,3287.39,11373.88,14661.27,259.99,1623.29,1883.28,0.17823954814347606,232837.73,0.0023283773,3134.37,0.0,0.0,0.17573860049893636,302740,975059,1277799,188328,23283773,0.03,0.03,0.03,0,2,96,0,0,1,1,0,0,0,0,131.32,174,98,N/A,34,14999.058823529413,1930.5588235294117,0.15850319603150334,10020643,294724.79411764705,3445.4411764705883,0.0,0.0,0,0.03,N/A,33,11563.69696969697,1806.1818181818182,0.1757476572170923,5915389,179254.21212121213,2671.5757575757575,0.0,0.0,0,0.03,N/A,33,11703.90909090909,1911.6666666666667,0.20106586245795285,7347741,222658.81818181818,3276.6666666666665,0.0,0.0,0,0.03,2894349750891.5557,1.6939956104323823,0.9541536140968434
28580000,2026-01-19T10:31:21.856699,1466656,302847,1278254,188402,313558,0.1782466690783775,0.23292037,0.1757645323151458,3028.47,9754.07,12782.54,3288.55,11378.01,14666.56,260.08,1623.94,1884.02,0.1782466690783775,232920.37,0.0023292037,3135.58,0.0,0.0,0.1757645323151458,302847,975407,1278254,188402,23292037,0.03,0.03,0.03,0,12,85,0,0,1,1,0,1,0,0,89.61,145,85,N/A,34,15005.411764705883,1931.264705882353,0.15848552899029242,10025234,294859.82352941175,3446.6470588235293,0.0,0.0,0,0.03,N/A,33,11567.575757575758,1806.969696969697,0.17576318767756755,5917049,179304.51515151514,2672.757575757576,0.0,0.0,0,0.03,N/A,33,11707.272727272728,1912.3939393939395,0.2010901129941842,7349754,222719.81818181818,3277.909090909091,0.0,0.0,0,0.03,2898668982405.5557,1.6942962615317196,0.9541194173587164
28590000,2026-01-19T10:31:22.491476,1467173,302954,1278705,188467,313665,0.17824395934048362,0.23300547,0.17578583732165398,3029.54,9757.51,12787.05,3289.73,11382.0,14671.73,260.18,1624.49,1884.67,0.17824395934048362,233005.47,0.0023300547,3136.65,0.0,0.0,0.17578583732165398,302954,975751,1278705,188467,23300547,0.03,0.03,0.03,0,5,92,0,0,0,2,0,1,0,0,70.65,117,67,N/A,34,15010.79411764706,1931.9117647058824,0.15848142509541724,10028544,294957.17647058825,3447.970588235294,0.0,0.0,0,0.03,N/A,33,11571.242424242424,1807.6363636363637,0.17577193901483007,5919066,179365.63636363635,2673.4848484848485,0.0,0.0,0,0.03,N/A,33,11711.727272727272,1913.030303030303,0.2010773785852964,7352937,222816.27272727274,3279.060606060606,0.0,0.0,0,0.03,2900296477286.0,1.694278117527326,0.9541268272512408
28600000,2026-01-19T10:31:23.142406,1467679,303062,1279146,188532,313763,0.17825488199639555,0.23308858,0.17581189434088906,3030.62,9760.84,12791.46,3290.89,11385.9,14676.79,260.26,1625.06,1885.32,0.17825488199639555,233088.58,0.0023308858,3137.63,0.0,0.0,0.17581189434088906,303062,976084,1279146,188532,23308858,0.03,0.03,0.03,0,6,89,0,1,0,2,0,2,0,0,129.51,154,97,N/A,34,15016.588235294117,1932.5588235294117,0.1584761705600011,10032667,295078.4411764706,3449.029411764706,0.0,0.0,0,0.03,N/A,33,11574.09090909091,1808.2121212121212,0.17579407372229733,5920540,179410.30303030304,2674.3636363636365,0.0,0.0,0,0.03,N/A,33,11716.272727272728,1913.7575757575758,0.20109375659890014,7355651,222898.51515151514,3280.060606060606,0.0,0.0,0,0.03,2903949634522.889,1.6945526928286947,0.9541029436288755
28610000,2026-01-19T10:31:23.781019,1468185,303169,1279586,188598,313867,0.17825565685326994,0.23317406,0.17583447349098194,3031.69,9764.17,12795.86,3292.04,11389.81,14681.85,260.34,1625.64,1885.98,0.17825565685326994,233174.06,0.0023317406,3138.67,0.0,0.0,0.17583447349098194,303169,976417,1279586,188598,23317406,0.03,0.03,0.03,0,10,86,0,0,0,1,0,3,0,0,77.09,132,74,N/A,34,15021.764705882353,1933.2941176470588,0.15848348329340972,10036311,295185.6176470588,3450.235294117647,0.0,0.0,0,0.03,N/A,33,11578.181818181818,1808.6363636363637,0.1757715888470277,5922724,179476.48484848486,2675.090909090909,0.0,0.0,0,0.03,N/A,33,11720.181818181818,1914.5757575757575,0.20111105519391362,7358371,222980.9393939394,3281.242424242424,0.0,0.0,0,0.03,2906004773197.555,1.6945430852425336,0.9541040763124687
28620000,2026-01-19T10:31:24.417928,1468700,303275,1280037,188662,313975,0.17825613581632008,0.23325665,0.17585827051340616,3032.75,9767.62,12800.37,3293.21,11393.79,14687.0,260.45,1626.17,1886.62,0.17825613581632008,233256.65,0.0023325665,3139.75,0.0,0.0,0.17585827051340616,303275,976762,1280037,188662,23325665,0.03,0.03,0.03,0,7,89,0,0,0,2,0,2,0,0,76.45,128,74,N/A,34,15026.823529411764,1933.9117647058824,0.15848959534372908,10039896,295291.0588235294,3451.4411764705883,0.0,0.0,0,0.03,N/A,33,11582.636363636364,1809.2121212121212,0.17575900379063686,5924806,179539.57575757575,2675.969696969697,0.0,0.0,0,0.03,N/A,33,11724.181818181818,1915.3030303030303,0.2011187943895214,7360963,223059.48484848486,3282.3939393939395,0.0,0.0,0,0.03,2908132739470.889,1.694552699278255,0.954103037402219
28630000,2026-01-19T10:31:25.087220,1469162,303361,1280439,188723,314101,0.17826109520530473,0.23332613,0.17588001696744196,3033.61,9770.78,12804.39,3294.21,11397.41,14691.62,260.6,1626.63,1887.23,0.17826109520530473,233326.13,0.0023332612999999998,3141.01,0.0,0.0,0.17588001696744196,303361,977078,1280439,188723,23332613,0.03,0.03,0.03,0,6,93,0,0,0,1,0,0,0,0,44.09,47,97,N/A,34,15031.79411764706,1934.3529411764705,0.1584694796354186,10043252,295389.76470588235,3452.823529411765,0.0,0.0,0,0.03,N/A,33,11586.060606060606,1809.909090909091,0.17578044600935883,5926198,179581.75757575757,2677.242424242424,0.0,0.0,0,0.03,N/A,33,11727.818181818182,1916.0,0.2011331058974969,7363163,223126.15151515152,3283.5151515151515,0.0,0.0,0,0.03,2910875455340.222,1.6947209661236429,0.9540878386404889
